Disk,Fibers,Micro,NSS1,NSS2,NSS3,NSS4
5,6,3,-3.18468614555912,0.464171422920504,2.01478488065069,-0.286103035611755
4,4,3,-3.87607394894228,-0.545601917880062,1.51973870436882,-0.425402772478767
5,6,3,-2.77135564875333,0.99166965603008,2.13397109923584,-0.180299937399661
4,6,3,-3.10086292796781,0.567650666560833,1.96941657952851,-0.130915591212834
5,6,3,-3.14688830592943,0.504879281809614,1.9914855458009,-0.305380227988031
5,6,3,13.5690561092151,-1.58748684657662,0.641475771885304,-0.257185289571632
4,6,3,10.3296730951062,-2.18906820424501,0.343056592614081,-0.416065060598346
5,6,3,15.240882432337,-1.34372943622888,0.754214535048172,-0.207004146804643
5,6,3,13.7627632580446,-1.44476757366686,0.576369588704396,-0.144656575066161
5,6,3,13.6704605289548,-1.59815561973876,0.620600311864856,-0.317983789008083
4,4,3,-3.63320430865453,-0.28487271628028,1.4563424889233,-0.424028701198046
4,4,3,-4.12499492280431,-0.977132231731976,1.14177556500456,-0.472880701138815
4,6,3,-3.17163996304005,0.316201393449814,1.61175729797913,-0.309351756973872
4,4,3,-3.47706404171826,-0.0809266897025518,1.49676560570433,-0.344476972293748
4,4,3,-3.52437316423991,-0.126788390875165,1.54928153719154,-0.386916155092043
4,6,3,1.70355289397012,2.0544770877026,-0.475579078104746,-0.639499789830061
4,6,2,-2.11716775314651,0.384417912574805,-1.06779331837941,-0.111377334213517
4,4,2,-4.36191513034027,-2.07418804427087,-1.05251778383006,0.0070598494801108
4,4,2,-5.3739180332621,-3.46910424118139,-1.08610472750139,-0.31246092125281
5,4,3,0.119442970060919,0.785420338452577,-0.656376850953544,-0.730115330024855
4,4,2,-3.05463904154389,-0.725647352781145,-1.107748204231,-0.225263404396123
4,4,2,-4.52097341226324,-2.32111623722133,-1.11829073902561,-0.0623614700845447
4,4,2,-5.38157739670545,-3.49130418471677,-1.09746239477541,-0.318131070719257
5,6,3,2.65587875623253,2.63800236595062,-0.409999588512847,-0.655143879634406
5,6,3,-1.91626941571698,0.648466700095787,-1.02317381960712,-0.0809692486701399
5,6,2,-4.13658525445272,-1.7750612752086,-1.04830716604944,0.0315411353283444
4,4,2,-5.20327115610816,-3.20520929181228,-1.06372170267864,-0.241252120644544
4,6,3,2.36553859485052,2.30897104966418,-0.527195051330001,-0.516219968401975
4,6,3,-2.13878193261261,0.343241518108746,-1.08086561024456,-0.113266567182048
4,4,2,-4.56536313557729,-2.3447908819266,-1.06434823265512,-0.021512334110503
4,4,2,-5.29855173644129,-3.35532415083575,-1.05235908752669,-0.306987876504426
4,6,3,2.04068339605523,2.11082322519694,-0.577190648307597,-0.772412729961831
5,6,3,-2.25616275270953,0.219876041625595,-1.07882129146514,-0.150379894938341
4,4,2,-4.48756792511681,-2.25056036911266,-1.04157902908561,-0.0535172232408262
4,4,2,-5.24071359610868,-3.27276314319887,-1.07885342456024,-0.257479911093915
5,6,3,-3.27837652545565,0.295000445615388,1.57096406412343,0.410241297177227
4,4,3,-3.87572920721677,-0.536344960549702,1.49624383644643,-0.450551582746969
4,6,3,-2.78824316126008,1.01271386679867,1.22314730102353,2.31491575417061
4,4,3,-3.1151433994395,0.587516357600226,1.16298105779593,2.11325085811427
4,6,3,-3.25426208097631,0.31030633413109,1.46489582445299,0.460457568811327
5,6,3,13.5687677493437,-1.57654268869344,0.610467189792802,-0.294831080830134
4,6,3,10.3183335032497,-2.17398732423695,-0.263221262486818,1.28353977859963
5,6,3,15.1718955374692,-1.47003385398004,0.384659706777352,0.304699783880938
5,6,3,13.7519850515566,-1.43085630636964,0.0035034638394418,1.4595252823953
5,6,3,13.6699186068061,-1.58698311559252,0.592504301489902,-0.354644303601348
4,4,3,-3.7148047131838,-0.428853476079097,1.08797061315891,0.170843211641582
4,4,3,-4.13796069500877,-0.960498717328969,0.432828965713657,1.49226636524653
4,6,3,-3.28690103383338,0.100197602509464,1.10280342728623,0.354729660118697
4,4,3,-3.47661324315138,-0.0754276610980683,1.47999677132068,-0.360483177943697
4,4,3,-3.53841834502152,-0.107424118732371,0.766188469526584,1.78810333309347
4,4,3,1.69387131232764,2.06595481431741,-0.976759451125624,0.741770740689956
5,6,3,-2.12048336304625,0.389632889611269,-1.26545364800361,0.449796189203787
4,6,3,1.65833112597971,1.97129226855564,-0.745405180869339,-0.317772613716775
4,6,3,-2.1404775010303,0.358007389921901,-1.08845436433308,0.017278648712552
4,6,3,1.7036834693247,2.06332029405343,-0.501473412074817,-0.669178583491642
5,4,3,0.111344252926781,0.796860860010247,-1.10914803208121,0.545640255781944
4,4,3,-3.05774088180924,-0.720884437296144,-1.28734694592222,0.281271804332639
5,4,3,0.0856581743327911,0.723883290279928,-0.868895788962554,-0.419582473848605
4,4,2,-3.07553205675307,-0.750268238210969,-1.14471023838493,-0.117669587543697
5,4,3,0.119333969643709,0.790935290037738,-0.66956469663301,-0.746713689955746
5,6,3,2.64579336550496,2.65067199226042,-0.938822922030982,0.80558316615877
5,6,3,-1.91996210213962,0.654328074318639,-1.24237281628345,0.543869419405208
5,6,3,2.5975131583292,2.53013849938064,-0.704000153806633,-0.271487423504762
5,6,3,-1.95024702396243,0.611966733572925,-1.02081905682594,0.078916164518341
5,6,3,2.65580326489959,2.64412890409196,-0.426052474585841,-0.674800323039709
5,6,3,2.35759570767721,2.31919753862829,-0.953441907609797,0.674852638371371
4,4,3,-2.14180741532639,0.348644857717164,-1.2726188872873,0.446241344497575
4,6,3,2.34601800675939,2.25643758317179,-0.774709432932753,-0.166915905379731
4,6,3,-2.16455319846817,0.325159709254074,-1.05319207616033,-0.0171331736156638
5,6,3,2.36594281104135,2.31317913109055,-0.540188742247733,-0.528312221015848
4,6,3,2.03053372318886,2.12474536305119,-1.1372524333542,0.797136788426808
5,4,3,-2.25962656544263,0.226003674915513,-1.29555339941035,0.472223964001913
4,6,3,1.98839282210225,2.02524964474114,-0.872967417285459,-0.324495755889175
4,6,3,-2.28755901772164,0.192442960940793,-1.0755604032485,0.0379861684690826
4,6,3,2.04075234301572,2.12040669579759,-0.600341912759199,-0.799459898025115
4,6,3,-3.3541072621643,0.219398878772185,2.14475560660636,-0.814341380547765
4,4,3,-4.17705943773819,-1.0162713907509,1.42940328368649,-0.70543452918958
4,4,3,-3.83804719783557,-0.427516915230296,1.70711673177737,-0.682891821785367
4,4,3,-2.39671642011,1.55368191259546,2.21692760126453,0.502055985640679
4,4,3,-2.92442709249654,0.805819485456051,1.83822048494279,0.307904156743304
